,molecule_cheml_id,standard_value,canonical_smiles,bioactivity_class
1659,CHEMBL225499,150.0,O=c1cc(Cn2ccnc2)c2ccc(OCc3ccccc3)cc2o1,active
1660,CHEMBL1688893,114.0,Cc1cccc(COc2ccc3c(Cn4ccnc4)cc(=O)oc3c2)c1,active
1661,CHEMBL1688891,113.0,O=c1cc(Cn2ccnc2)c2ccc(OCc3cccc(F)c3)cc2o1,active
1662,CHEMBL1688890,130.0,O=c1cc(Cn2ccnc2)c2ccc(OCc3cccc(Cl)c3)cc2o1,active
1663,CHEMBL1688892,235.0,O=c1cc(Cn2ccnc2)c2ccc(OCc3cccc(C(F)(F)F)c3)cc2o1,active
1664,CHEMBL1688894,207.0,O=c1cc(Cn2ccnc2)c2ccc(OCc3cccc(OC(F)(F)F)c3)cc2o1,active
1665,CHEMBL1688895,141.0,O=c1cc(Cn2ccnc2)c2ccc(OCc3cccc([N+](=O)[O-])c3)cc2o1,active
1666,CHEMBL1688896,267.0,O=c1cc(Cn2ccnc2)c2ccc(OCc3ccc(F)cc3)cc2o1,active
1667,CHEMBL1688897,178.0,O=c1cc(Cn2ccnc2)c2ccc(OCc3ccc(Cl)cc3)cc2o1,active
1668,CHEMBL1688898,127.0,COc1ccc(COc2ccc3c(Cn4ccnc4)cc(=O)oc3c2)cc1,active
1669,CHEMBL1688899,481.0,O=c1cc(Cn2ccnc2)c2ccc(OCc3ccc(OC(F)(F)F)cc3)cc2o1,active
1670,CHEMBL1688900,169.0,O=c1cc(Cn2ccnc2)c2ccc(OCc3cc(F)cc(F)c3)cc2o1,active
1671,CHEMBL1688901,165.0,O=c1cc(Cn2ccnc2)c2ccc(OCc3ccc(F)c(F)c3)cc2o1,active
1672,CHEMBL437731,51.0,O=c1cc(Cn2ccnc2)c2ccc(Oc3ccccc3)cc2o1,active
1673,CHEMBL1688902,72.0,O=c1cc(Cn2ccnc2)c2ccc(Oc3cccc(F)c3)cc2o1,active
1674,CHEMBL1688903,72.0,O=c1cc(Cn2ccnc2)c2ccc(Oc3cccc(Cl)c3)cc2o1,active
1675,CHEMBL1688904,292.0,COc1cccc(Oc2ccc3c(Cn4ccnc4)cc(=O)oc3c2)c1,active
1676,CHEMBL1688905,690.0,Cc1ccc(Oc2ccc3c(Cn4ccnc4)cc(=O)oc3c2)cc1,active
1677,CHEMBL1688906,112.0,O=c1cc(Cn2ccnc2)c2ccc(Oc3ccc(Cl)cc3)cc2o1,active
1678,CHEMBL1688907,164.0,N#Cc1ccc(Oc2ccc3c(Cn4ccnc4)cc(=O)oc3c2)cc1,active
1679,CHEMBL1688908,296.0,CC(=O)c1ccc(Oc2ccc3c(Cn4ccnc4)cc(=O)oc3c2)cc1,active
